 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:10 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:10 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:11 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:11 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:11 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:12 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:12 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:12 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:13 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:13 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:13 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:13 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:13 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:15 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:15 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:15 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:15 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:16 AM ::1 GET /question-banks/1
 HTTP  4/18/2026 11:40:16 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:16 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:40:16 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:40:16 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:40:16 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:40:16 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:40:16 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:26 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:26 AM ::1 Returned 200 in 6 ms
 HTTP  4/18/2026 11:43:26 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:26 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:26 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:26 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:26 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:28 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:28 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:28 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:28 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:28 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:29 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:29 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:29 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:29 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:29 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:29 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:29 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:29 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:31 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:31 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:31 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:31 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:31 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:31 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:32 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:32 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:32 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:32 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:32 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:32 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:32 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:32 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:33 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:33 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:33 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:33 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:34 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:43:34 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:43:34 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:43:34 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:34 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:43:34 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:43:34 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:43:34 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:44:43 AM ::1 GET /
 HTTP  4/18/2026 11:44:43 AM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 11:44:43 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:44:43 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:44:43 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:44:43 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:26 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:26 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:26 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:26 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:46:26 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:26 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:27 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:27 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:27 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:28 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:28 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:31 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /reports/exams/1
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:31 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:31 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:46:31 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:55 AM ::1 GET /
 HTTP  4/18/2026 11:46:55 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:46:55 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:46:55 AM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 11:46:55 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:46:55 AM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 11:47:42 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:47:42 AM ::1 Returned 304 in 6 ms
 HTTP  4/18/2026 11:47:42 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 11:47:42 AM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 11:47:47 AM ::1 GET /results/exams/1
 HTTP  4/18/2026 11:47:47 AM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 11:47:47 AM ::1 GET /assets/index-DLgjNNDl.css
 HTTP  4/18/2026 11:47:47 AM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 11:47:47 AM ::1 GET /assets/index-DIFeDuwM.js
 HTTP  4/18/2026 11:47:47 AM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 11:47:47 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 11:47:47 AM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 11:47:47 AM ::1 GET /favicon.svg
 HTTP  4/18/2026 11:47:47 AM ::1 Returned 200 in 2 ms
 HTTP  4/18/2026 11:50:31 AM ::1 GET /
 HTTP  4/18/2026 11:50:31 AM ::1 Returned 200 in 6 ms
 HTTP  4/18/2026 11:50:41 AM ::1 GET /results/exams/1
 HTTP  4/18/2026 11:50:41 AM ::1 Returned 200 in 0 ms
